place,avg_car_access,avg_no_car_access,attr_conc,land_area_km2,attr_dens,pci
New-York-Newark-Jersey-City-NY-NJ,19854002.667310443,1079460.2881945039,19.78134698847264,15901.135827,3294.056259242845,0.054369907483282055
Los-Angeles-Long-Beach-Anaheim-CA,15225763.936235648,133587.11075846243,21.836762638452253,12566.985125,2159.6084685426886,0.008773754231177837
Chicago-Naperville-Elgin-IL-IN,8270788.366096658,99123.782113241,36.78781015041979,17930.625825,1095.1732522699049,0.01198480455860362
Riverside-San-Bernardino-Ontario-CA,2763234.1316277627,15222.705664355819,146.48091818753207,70648.050368,100.44240659207429,0.005509017672486713
Los-Alamos-NM,102594.81693951917,14422.377313727427,33038.029602414426,282.626748,324.3507581950453,0.1405760811701588
Aberdeen-SD,117327.02398801339,16650.30273815062,437.7301785320053,7353.004128,11.399055208037549,0.14191362034250254
Aberdeen-WA,68969.90682076747,5770.802721464335,112.55333973322821,4924.794342,25.215022471287593,0.08367131387404882
Abilene-TX,389017.15998501907,11538.888795317574,97.95431212959139,7105.668292,40.04946309137392,0.029661644735059847
Ada-OK,102527.19428263877,6521.627051612536,46.348933319982336,1865.856327,45.79296849579995,0.06360875372863746
Adrian-MI,227007.3415125851,9790.54876386668,6.080110987172623,1941.526154,1196.5936669014864,0.04312877591812995
Akron-OH,1500296.9767386646,11694.182811387729,15.444060204802494,2331.502236,729.3284448730848,0.007794578668556985
Alamogordo-NM,82013.77738713876,5912.316240444663,242.67242667835205,17126.455954,5.200042568013018,0.07208930534361438
Alamosa-CO,39071.885659665175,7361.239962291101,503.32272235812195,8385.519223,7.100776757708949,0.18840247502797852
Albany-GA,313348.77851038286,6312.186331183095,34.17304067177975,4120.74796,66.60822323139608,0.020144282550550743
Albany-OR,182066.65692560992,11324.603465442526,120.8841172052407,5929.198837,43.38862754856875,0.06220031529479674
Albany-Schenectady-Troy-NY,1739198.0624140678,49036.011514308455,57.99215584888359,7282.538753,356.18368648315794,0.028194610248268536
Albemarle-NC,109471.83801478635,3453.906201003237,34.906772836608546,1023.250043,114.20854638556804,0.03155063679972851
Albert-Lea-MN,73589.1383222902,6197.6043648000405,386.7558810585603,1831.756446,31.770053342561024,0.08421900984432076
Albertville-AL,144499.91744608525,3504.2834522232984,39.81321460826605,1465.531833,125.68700034508224,0.024251110410016607
Albuquerque-NM,2133292.834836349,27830.160908344944,125.67742304721652,24043.885303,82.00673789414475,0.0130456355798335
Alexander-City-AL,47932.01334807127,1692.128316316777,62.436879754596866,1855.798002,39.656794500633374,0.03530267556317591
Alexandria-LA,292496.4467144608,6778.504660235155,84.73055405013773,5086.784347,54.65118649347767,0.023174656432159765
Alexandria-MN,98478.31886261051,6274.969758491861,84.3659306787018,1649.659292,54.03691564209369,0.0637193021871771
Alice-TX,64617.311935638194,8315.803480519065,80.14520999091506,4684.072389,14.658014287148541,0.12869312002334587
Allentown-Bethlehem-Easton-PA-NJ,1445030.373527939,18417.66481009156,25.660962999804028,3763.207864,510.8070214215517,0.012745520888343779
Alma-MI,128459.39867816365,8976.133133866499,16.53844747124113,1472.098896,691.7698958725392,0.06987525417548385
Alpena-MI,138605.3879381368,12088.66814725342,6.0877965142477075,1481.205162,623.7092765411251,0.08721643744937901
Altoona-PA,354036.60528294585,15370.681035739084,26.07258309059422,1360.458062,229.1173897281076,0.04341551355531399
Altus-OK,57073.82990776609,7553.664266554002,119.32469286073054,2078.860507,15.30665472399587,0.13234899916057968
Amarillo-TX,759560.4880773025,17880.97053700286,430.57957846472414,13340.979939,42.090191467755865,0.023541206813252596
Americus-GA,71361.66863703438,4752.138445899467,136.43782764818545,1682.937488,35.19691041548657,0.06659231120379466
Ames-IA,312400.1596790594,15865.819123356889,163.08857828413855,2960.4333,96.32052848479984,0.05078684703508619
Amherst-Town-Northampton-MA,320764.504197855,15177.71751611778,42.970717151129264,1365.533877,319.43894424524774,0.047317322576178225
Amsterdam-NY,88355.1223488074,6888.95621367609,68.5602362271819,1044.051406,94.23108808111695,0.07796895109804661
Anderson-Creek-NC,115537.85555692686,2014.6089896494163,9.862777592945369,1540.870409,114.6660997368793,0.017436787102706738
Andrews-TX,40036.62399684531,9929.826605225662,286.73650267749855,3886.850259,7.180055350827962,0.24801857933895935
Angola-IN,73320.61883147995,4080.6298692391283,37.42615766788287,799.737112,85.29102748454169,0.05565460213337867
Ann-Arbor-MI,2500462.529688231,100998.92784147974,3.0248369658367413,1828.539718,7738.047722297274,0.040392098118771945
Anniston-Oxford-AL,238248.88478347985,4388.072453723402,16.139856662426272,1569.246126,118.77040631929526,0.01841801886170957
Appleton-WI,593906.4130904146,14288.566351472256,46.34756310316601,2475.529498,226.03006768938127,0.02405861603197911
Arcadia-FL,50314.82431363973,4641.585151262089,29.95855826728992,1649.031791,28.89792680776765,0.09225084683449472
Ardmore-OK,105733.55090264496,8110.677639605165,47.937262865242985,2129.500591,43.296113835171035,0.07670864706958663
Arkadelphia-AR,46149.15157314487,4872.981572606623,145.55487727826528,2242.855171,17.79963348333382,0.10559200779418684
Arkansas-City-Winfield-KS,74135.5392041885,8159.69868600406,316.58217950170035,2915.648171,22.971461600261783,0.11006460293665812
Asheville-NC,744626.3990840925,9496.141787516935,19.457230939421,3830.751608,247.2627820665526,0.012752894336270387
Ashland-OH,89908.813728916,6536.122768238855,30.93755097421523,1095.530837,91.65812281010216,0.07269724176259199
Astoria-OR,85436.61861480433,7304.216554357274,31.167780594072305,2144.84671,46.911464362877474,0.0854928094391087
Atchison-KS,33227.8301969404,7868.889303386279,424.2651788090366,1116.736555,27.296052827786227,0.23681622473533773
Athens-Clarke-County-GA,523155.9853432598,12045.677487990679,53.19338194542367,2654.607902,184.0382904126532,0.023025020883756332
Athens-OH,124531.44634328461,11789.70771762331,291.96469668458616,1304.431981,99.9546943797294,0.09467253504085776
Athens-TN,92494.61122521326,2752.6169429191687,94.96169308076593,1619.394979,67.27086437384835,0.02975975471929794
Athens-TX,64949.16540451252,1911.2671479073035,59.5065028588264,2263.082389,55.66275475090536,0.029427124059311055
Atlanta-Sandy-Springs-Roswell-GA,4586496.731295154,19014.41530197615,35.99571925616428,22753.429229,597.2348898811344,0.004145738330572576
Atlantic-City-Hammonton-NJ,639409.8042046174,15919.439720264849,22.92097348312551,2090.213214,439.0271738086907,0.02489708417916356
Auburn-IN,95939.02349136732,5207.770240157412,60.73839177759926,939.731961,99.39046864023815,0.05428208512697664
Auburn-NY,124182.90554854255,10908.40516134567,70.46685595454773,1791.201989,93.40186144690576,0.08784143931212515
Auburn-Opelika-AL,290927.36601257103,8597.64071756169,66.76560757429192,3149.962412,119.35717028486243,0.029552533456719172
